register_#,annual_dfo,country,began,ended,days,deaths,displaced,damage_usd,main_cause,severity,sq_km,flood_magnitude_index,centroid_x,centroid_y
620,1074000,Brazil,2/1/92,2/12/92,12,41,15600,,Heavy rain,1,1.074.000,7.11,-44.155,-15.584
622,90430,Cuba,2/6/92,2/10/92,5,0,9127,2589900,Heavy rain,1.5,90.43,5.83,-77.913,21.56
623,4600,USA,2/10/92,2/12/92,3,8,,30000000,Heavy rain,1.5,4.6,4.32,-118.115,34.049
624,192700,Argentina,2/11/92,2/14/92,4,4,12200,,Heavy rain,1.5,192.7,6.06,-64.546,-27.598
626,8000,Canada,2/27/92,2/29/92,3,0,4000,,Ice jam/break-up,1,8,4.38,-117.494,56.461
627,5770,Solomon Islands - Tropical Cyclone Esau,3/1/92,3/2/92,2,0,40,,Tropical cyclone,1,5.77,4.06,160.215,-9.574
628,40570,Peru,3/3/92,3/25/92,23,0,32000,21000000,Heavy rain,1.5,40.57,6.15,-79.607,-4.688
629,6380,USA,3/4/92,3/6/92,3,1,,50000000,Heavy rain,1,6.38,4.28,-95.343,29.837
630,204600,Bolivia,3/10/92,3/11/92,2,4,5125,100000000,Heavy rain,1,204.6,5.61,-64.753,-13.532
631,1310,USA,3/12/92,3/14/92,3,0,,10000000,Ice jam/break-up,1.5,1.31,3.77,-72.528,44.271
632,53880,Australia - Cyclone Fran,3/14/92,3/14/92,1,0,,,Tropical cyclone,1,53.88,4.73,152.026,-25.247
633,390,Canada,3/14/92,3/14/92,1,0,53,,Brief torrential rain,1.5,390,2.77,-61.801,47.431
634,545400,China,3/15/92,4/23/92,40,248,210000,170000000,Heavy rain,1.5,545.4,7.51,113.878,25.113
635,542300,China,3/15/92,5/2/92,49,59,,70000000,Heavy rain,1,542.3,7.42,105.41,28.773
636,1151000,Iran,3/28/92,6/8/92,73,105,48000,143000000,Heavy rain,1.5,1.151.000,8.1,52.898,33.352
637,109500,Ecuador,3/24/92,5/8/92,46,22,10000,,Heavy rain,1,109.5,6.7,-79.508,-1.794
640,1370,China,4/1/92,5/8/92,38,5,3000,,Heavy rain,1.5,1.37,4.89,114.116,22.372
641,7030,Italy,4/3/92,4/5/92,3,32,,,Heavy rain,1,7.03,4.32,10.566,45.396
642,123600,Tajikistan,4/15/92,6/9/92,56,200,500,2000000,Heavy rain,1,123.6,6.84,71.604,38.654
